File number, Database, Animal ID, Site, Mouse strain, Genotype, Gender, Age (months), Schedule name, Schedule run date,Day, Max number of trials, Max schedule time
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 1 v2_5.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4,5CSRTT_Habituation_1_,3/25/2014,1,0,600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 1 v2_13.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4,5CSRTT_Habituation_1_,3/26/2014,1,0,600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 2 v2_21.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4,5CSRTT_Habituation_2_,3/27/2014,1,0,1200
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 2 v2_29.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4,5CSRTT_Habituation_2_,3/28/2014,1,0,1200
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 2 v2_37.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4,5CSRTT_Habituation_2_,4/1/2014,1,0,2400
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Initial Touch Training v3_45.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Initial_Touch_Training_v3,4/2/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse  5-choice Mouse Must Touch Training v2Training v2_53.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Must_Touch_Training_v2,4/3/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Must Initiate Training v1_61.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Must_Initiate_training,4/4/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Must Initiate Training v1_69.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Must_Initiate_training,4/7/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_77.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/8/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_85.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/9/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_93.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/10/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_101.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/14/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_109.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/15/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_117.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/16/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_125.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/17/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_133.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/21/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_141.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/22/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_149.xml, LON5C5FAD3MF, lt47f093, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/23/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 1 v2_6.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4,5CSRTT_Habituation_1_,3/25/2014,1,0,600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 1 v2_14.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4,5CSRTT_Habituation_1_,3/26/2014,1,0,600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 2 v2_22.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4,5CSRTT_Habituation_2_,3/27/2014,1,0,1200
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 2 v2_30.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4,5CSRTT_Habituation_2_,3/28/2014,1,0,1200
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Habituation 2 v2_38.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4,5CSRTT_Habituation_2_,4/1/2014,1,0,2400
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Initial Touch Training v3_46.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Initial_Touch_Training_v3,4/2/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse  5-choice Mouse Must Touch Training v2Training v2_54.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Must_Touch_Training_v2,4/3/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-choice Mouse Must Initiate Training v1_62.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Must_Initiate_training,4/4/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_70.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/7/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_78.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/8/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_86.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/9/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_94.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/10/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_102.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/14/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_110.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/15/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_118.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/16/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_126.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/17/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_134.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/21/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_142.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/22/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_150.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/23/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_158.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/24/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_166.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/28/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabC/LON5C5FAD3MF_cabC/MOUSEBOX-C_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_174.xml, LON5C5FAD3MF, lt47f094, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/29/2014,1,30,3600
